ANO,CO_MUNICIPIO,NO_MUNICIPIO,QTD_ALUNOS_INSE,MEDIA_INSE
2023,3149101,Pedralva,271,5.0391
2023,3144003,Mutum,665,4.6424
2023,3167103,Serro,600,4.5368
2023,3163409,São José do Goiabal,169,5.0778
2023,3168200,Tapiraí,41,4.971
2023,3149309,Pedro Leopoldo,1354,5.2711
2023,3168804,Tiradentes,134,5.1475
2023,3167202,Sete Lagoas,5111,5.1609
2023,3161403,São Francisco do Glória,121,4.7719
2023,3148202,Patrocínio do Muriaé,138,4.8066
2023,3144102,Muzambinho,634,5.2882
2023,3149804,Perdizes,550,5.255
2023,3149705,Perdigão,431,5.1844
2023,3143609,Morro da Garça,82,4.6489
2023,3165552,Setubinha,443,4.3028
2023,3143807,Munhoz,235,5.161
2023,3140001,Mariana,1526,5.218
2023,3140209,Maripá de Minas,100,5.2862
2023,3161502,São Geraldo,277,4.8983
2023,3143500,Morada Nova de Minas,229,5.1227
2023,3149408,Pedro Teixeira,39,4.6826
2023,3143450,Montezuma,263,4.4402
2023,3163003,São José da Safira,114,4.5525
2023,3161908,São Gonçalo do Rio Abaixo,454,5.2824
2023,3148301,Paula Cândido,254,4.7955
2023,3167509,Simão Pereira,53,4.8731
2023,3138203,Lavras,2029,5.3384
2023,3162252,São João da Lagoa,180,4.5569
2023,3162500,São João del Rei,1775,5.2508
2023,3140605,Materlândia,96,4.6505
2023,3138104,Lassance,226,4.5594
2023,3168408,Tarumirim,320,5.0276
2023,3140530,Martins Soares,226,4.8671
2023,3165800,Senador José Bento,39,5.1829
2023,3150406,Piedade dos Gerais,138,5.0969
2023,3166105,Senhora do Porto,95,4.418
2023,3165107,São Tomás de Aquino,205,5.1021
2023,3169802,Turvolândia,157,5.0934
2023,3144706,Nova Era,521,5.208
2023,3164704,São Sebastião do Paraíso,1757,5.3008
2023,3166303,Sericita,212,4.6555
2023,3140407,Marmelópolis,108,4.7148
2023,3165008,São Tiago,342,5.1018
2023,3152402,Poté,423,4.5207
2023,3160959,São Domingos das Dores,236,4.9112
2023,3161007,São Domingos do Prata,414,4.9575
2023,3149903,Perdões,506,5.2325
2023,3143005,Monte Belo,338,5.179
2023,3160900,São Brás do Suaçuí,159,5.5041
2023,3157302,Santa Bárbara do Tugúrio,129,4.9519
2023,3145703,Oliveira Fortes,45,4.783
2023,3155009,Rio Doce,83,5.2147
2023,3154606,Ribeirão das Neves,9134,5.1149
2023,3147204,Paraguaçu,482,5.2314
2023,3159506,Santa Rita do Itueto,142,4.7601
2023,3155108,Rio do Prado,164,4.5231
2023,3170578,Vargem Alegre,215,4.7037
